Job Title,Company Name,Rating,Experience,Salary,Location,Type,Skills Required
Data Scientist,Response Informatics,3.9,1-5 Yrs,Not disclosed,Hyderabad,Hybrid,SQL
Data Scientist II,F5,4,3-7 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Data Scientist II,"F5 Networks, Inc",4,3-7 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Lead Data Scientist,Skillety,3.2,10-12 Yrs,Not disclosed,Hyderabad,Hybrid,AWS
"Data Scientist, Product Analytics",Xoom,4.1,3-5 Yrs,Not disclosed,Chennai,Hybrid,Management 
Junior Data Scientist,NMD,4.1,1-6 Yrs,Not disclosed,Gurgaon,Hybrid,ML
Opening For Data Scientist _ WebPT India (Hyderabad),Webpt India,4.1,5-7 Yrs,Not disclosed,Hyderabad,Hybrid,Python
Data Scientist,Veniso Solutions,4.5,2-7 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Analytics Specialist - Data Visualization,Accenture,4.1,7-11 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Data Scientist,Grok,4.1,3-6 Yrs,Not disclosed,New Delhi,Hybrid,ML
Manager-Data Science,Essenware,4.3,8-13 Yrs,Not disclosed,Chennai,Hybrid,Management 
Data Scientist,Fusion Plus Solutions,3.1,3-6 Yrs,Not disclosed,Hyderabad,Hybrid,AWS
Data Scientist,Optimar Consulting,4.1,5-10 Yrs,Not disclosed,Gurgaon,Hybrid,ML
Data Scientist,AxmiYaN HR Solutions Private Limited,4.1,6-8 Yrs,Not disclosed,Gurgaon,Hybrid,ML
Data Scientist,Acme Services,4.7,3-8 Yrs,Not disclosed,Mumbai,Hybrid,Python
Lead Data Scientist,HR Services,4.1,5-9 Yrs,Not disclosed,Mumbai,Hybrid,Python
Data Scientists,Deeptek,4.2,3-7 Yrs,Not disclosed,Mumbai,Hybrid,ML
Data Scientist,Zignaai,4.7,3-7 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Data Scientist,Redbixbite,5,3-5 Yrs,Not disclosed,Mumbai,Hybrid,ML
Principal Data Scientist,Skillety,3.2,12-15 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Data Scientist,Acme Services,4.7,3-8 Yrs,Not disclosed,Mumbai,Hybrid,AWS
Manager-Data Science,GAP ,3.8,5-10 Yrs,13-17 Lacs PA,New Delhi,Hybrid,Management 
Data Scientist,Saarthee,2.5,1-6 Yrs,Not disclosed,Gurgaon,Hybrid,ML
